PRODUCTO,CANTIDAD_PRODUCTO, PRECIO_TOTAL,FECHA,AÑO,MES,NomMes,DIA,REFERENCIA,GENERO,TALLA,CANTIDAD_DEVOLUCION, PRECIO_TOTAL_DEVOL
[00010844014] BRAGA LG KIOG 10844 (14),1, $  16.000 ,2021-01-01,2021,1,ENE,1,BRAGA,MUJER,14,,
[0010604012] JEANS KIOG DAMA 10604 (12),1, $  10.600 ,2021-01-01,2021,1,ENE,1,JEANS,MUJER,12,,
[0010634034] JEANS KIOG HOMBRE 10634 (34),,,2021-01-01,2021,1,ENE,1,JEANS,HOMBRE,34,1, $  10.400 
[0010645010] PANTALON BOYFRIEND KIOG 10645 (10),1, $  10.400 ,2021-01-01,2021,1,ENE,1,PANTALON,MUJER,10,,
[0010665016] JEANS KIOG DAMA 10665 (16),1, $  10.600 ,2021-01-01,2021,1,ENE,1,JEANS,HOMBRE,16,,
[0010681014] BOYFRIEND KIOG DAMA 10681 (14),1, $  10.600 ,2021-01-01,2021,1,ENE,1,BOYFRIEND,HOMBRE,14,,
[0010708008] JEANS KIOG 10708 (8),1, $  10.600 ,2021-01-01,2021,1,ENE,1,JEANS,HOMBRE,8,,
[0010726036] JEANS KIOG CABALLERO 10726 (36),1, $  10.400 ,2021-01-01,2021,1,ENE,1,JEANS,HOMBRE,36,,
[0010727036] JEANS KIOG CABALLERO 10727 (36),1, $  13.000 ,2021-01-01,2021,1,ENE,1,JEANS,HOMBRE,36,,
[0010766016] BRAGA LG KIOG 10766 (16),1, $  13.000 ,2021-01-01,2021,1,ENE,1,BRAGA,HOMBRE,16,,
[0010786012] BRAGA LG KIOG 10786 (12),1, $  13.000 ,2021-01-01,2021,1,ENE,1,BRAGA,HOMBRE,12,,
[0010793012] BRAGA LG KIOG 10793 (12),1, $  13.000 ,2021-01-01,2021,1,ENE,1,BRAGA,MUJER,12,,
[0010831014] JEANS KIOG DAMA 10831 (14),1, $  10.000 ,2021-01-01,2021,1,ENE,1,JEANS,HOMBRE,14,,
[0010833010] JEANS KIOG 10833 (10),1, $  10.600 ,2021-01-01,2021,1,ENE,1,JEANS,HOMBRE,10,,
[0010835008] JEANS KIOG DAMA 10835 (8),2, $  21.200 ,2021-01-01,2021,1,ENE,1,JEANS,HOMBRE,8,,
[0010872010] JEANS KIOG 10872 (10),1, $  10.600 ,2021-01-01,2021,1,ENE,1,JEANS,HOMBRE,10,,
[0010887008] JOGGER DAMA KIOG 10887 (8),2, $  21.200 ,2021-01-01,2021,1,ENE,1,JOGGER,MUJER,8,,
[0010887010] JOGGER DAMA KIOG 10887 (10),3, $  31.800 ,2021-01-01,2021,1,ENE,1,JOGGER,MUJER,10,,
[0010887012] JOGGER DAMA KIOG 10887 (12),7, $  76.600 ,2021-01-01,2021,1,ENE,1,JOGGER,MUJER,12,,
[0010887014] JOGGER DAMA KIOG 10887 (14),2, $  21.200 ,2021-01-01,2021,1,ENE,1,JOGGER,MUJER,14,,
[0010887016] JOGGER DAMA KIOG 10887 (16),1, $  10.600 ,2021-01-01,2021,1,ENE,1,JOGGER,MUJER,16,,
[0010889014] JEANS DAMA KIOG 10889 (14),1, $  10.400 ,2021-01-01,2021,1,ENE,1,JEANS,MUJER,14,,
[0010892014] JOGGER DAMA KIOG 10892 (14),1, $  10.600 ,2021-01-01,2021,1,ENE,1,JOGGER,MUJER,14,,
[0010893008] JOGGER DAMA KIOG 10893 (8),0,,2021-01-01,2021,1,ENE,1,JOGGER,MUJER,8,,
[0010893010] JOGGER DAMA KIOG 10893 (10),4, $  42.400 ,2021-01-01,2021,1,ENE,1,JOGGER,MUJER,10,,
[0010893012] JOGGER DAMA KIOG 10893 (12),3, $  31.800 ,2021-01-01,2021,1,ENE,1,JOGGER,MUJER,12,,
[0010893014] JOGGER DAMA KIOG 10893 (14),1, $  10.600 ,2021-01-01,2021,1,ENE,1,JOGGER,MUJER,14,,
[0010896008] JOGGER DAMA KIOG 10896 (8),2, $  21.200 ,2021-01-01,2021,1,ENE,1,JOGGER,MUJER,8,,
